City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Mango,US,2022-11-23 22:45:33,27.9797,-82.3065,77.32,86,100,5.75
134,Cairns,AU,2022-11-23 22:44:12,-16.9167,145.7667,89.06,68,29,8.05
135,Numazu,JP,2022-11-23 22:46:34,35.1,138.8667,58.01,78,16,2.15
136,Altagracia De Orituco,VE,2022-11-23 22:46:34,9.8601,-66.3814,72.5,90,65,3.76
137,Tabuk,PH,2022-11-23 22:46:35,17.4189,121.4443,74.73,90,76,3.8
138,Vestmannaeyjar,IS,2022-11-23 22:46:35,63.4427,-20.2734,42.76,64,100,18.3
139,Seoul,KR,2022-11-23 22:46:06,37.5683,126.9778,44.04,81,75,1.14
140,Mahebourg,MU,2022-11-23 22:43:31,-20.4081,57.7,76.24,88,40,6.91
141,Victoria,HK,2022-11-23 22:45:36,22.2855,114.1577,73.96,92,100,13.0
142,Baghdad,IQ,2022-11-23 22:42:44,33.3406,44.4009,62.51,63,8,2.3
143,Tessalit,ML,2022-11-23 22:46:36,20.1986,1.0114,70.92,14,100,9.1
144,Hofn,IS,2022-11-23 22:46:36,64.2539,-15.2082,40.06,84,100,22.86
145,Boksitogorsk,RU,2022-11-23 22:46:37,59.474,33.8485,16.61,92,76,4.7
146,Batagay-Alyta,RU,2022-11-23 22:46:37,67.8006,130.4114,-26.99,99,95,2.51
147,Verkhnevilyuysk,RU,2022-11-23 22:46:37,63.4453,120.3167,-33.47,100,100,1.3
148,Launceston,AU,2022-11-23 22:45:36,-41.45,147.1667,61.34,69,78,8.05
149,Dickinson,US,2022-11-23 22:46:38,29.4608,-95.0513,70.09,68,0,11.5
150,Mingaora,PK,2022-11-23 22:46:38,34.7758,72.3625,50.09,28,0,8.81
151,Fukue,JP,2022-11-23 22:46:39,32.6881,128.8419,62.87,65,48,9.44
152,Haripur,PK,2022-11-23 22:46:39,34.0,72.9341,50.76,24,0,7.2
153,Miles City,US,2022-11-23 22:46:39,46.4083,-105.8406,36.57,80,100,13.8
154,Payakumbuh,ID,2022-11-23 22:46:40,-0.2202,100.6308,68.92,93,100,3.65
155,Rawson,AR,2022-11-23 22:46:40,-43.3002,-65.1023,80.28,27,51,21.74
156,Saint-Philippe,RE,2022-11-23 22:46:41,-21.3585,55.7679,72.99,86,36,9.71
157,Chuy,UY,2022-11-23 22:46:41,-33.6971,-53.4616,60.84,72,0,6.96
158,Tonj,SS,2022-11-23 22:46:41,7.2737,28.6822,78.35,54,51,3.96
159,Potosi,BO,2022-11-23 22:45:28,-19.5836,-65.7531,44.87,65,100,3.49
160,Nagornskiy,RU,2022-11-23 22:46:42,58.7731,57.5451,10.78,84,100,8.88
161,Manicore,BR,2022-11-23 22:46:42,-5.8092,-61.3003,80.55,83,0,1.14
162,Oxford,GB,2022-11-23 22:46:11,51.7522,-1.256,48.06,88,75,6.91
163,Sorong,ID,2022-11-23 22:46:43,-0.8833,131.25,80.73,78,100,5.55
164,Kasongo,CD,2022-11-23 22:46:43,-4.45,26.6667,65.39,97,83,1.54
165,Tefe,BR,2022-11-23 22:46:44,-3.3542,-64.7114,78.91,83,0,3.44
166,Necochea,AR,2022-11-23 22:43:18,-38.5473,-58.7368,60.75,79,1,8.3
167,Torbay,CA,2022-11-23 22:43:19,47.6666,-52.7314,36.57,95,75,11.5
168,Port Lincoln,AU,2022-11-23 22:46:44,-34.7333,135.8667,61.21,68,69,10.16
169,Cidreira,BR,2022-11-23 22:46:45,-30.1811,-50.2056,66.96,71,97,7.38
170,Afua,BR,2022-11-23 22:46:45,-0.1567,-50.3867,77.41,88,61,6.08
171,Butaritari,KI,2022-11-23 22:46:45,3.0707,172.7902,80.78,72,79,5.41
172,Poya,NC,2022-11-23 22:46:46,-21.35,165.15,85.23,61,20,9.4
173,Honiara,SB,2022-11-23 22:46:46,-9.4333,159.95,86.86,64,5,6.38
174,Hasaki,JP,2022-11-23 22:46:47,35.7333,140.8333,54.0,67,28,21.61
175,Saint-Augustin,CA,2022-11-23 22:46:47,51.226,-58.6502,5.07,88,99,7.38
176,Belyy Yar,RU,2022-11-23 22:46:48,53.6039,91.3903,5.86,57,0,11.18
177,Kuito,AO,2022-11-23 22:46:48,-12.3833,16.9333,58.62,93,89,3.22
178,Arman,RU,2022-11-23 22:46:48,59.7,150.1667,-2.34,83,29,8.21
179,Bethel,US,2022-11-23 22:46:49,41.3712,-73.414,47.64,51,0,0.0
180,Dingle,PH,2022-11-23 22:46:49,10.9995,122.6711,77.47,91,100,6.87
181,Geraldton,AU,2022-11-23 22:47:50,-28.7667,114.6,61.21,82,75,10.36
182,Manado,ID,2022-11-23 22:47:50,1.487,124.8455,75.97,94,20,2.3
183,Bereda,ES,2022-11-23 22:47:50,43.2686,-7.5406,51.42,91,90,4.88
184,Mehamn,NO,2022-11-23 22:47:51,71.0357,27.8492,22.95,74,0,9.22
185,Biak,ID,2022-11-23 22:47:51,-0.9131,122.8766,78.76,74,100,1.54
186,Tiksi,RU,2022-11-23 22:47:52,71.6872,128.8694,-26.64,100,100,4.12
187,Allende,MX,2022-11-23 22:43:42,25.2833,-100.0167,65.28,85,100,5.12
188,Prince George,CA,2022-11-23 22:45:52,53.9166,-122.753,35.26,94,100,8.05
189,Kalmunai,LK,2022-11-23 22:47:52,7.4167,81.8167,77.14,84,95,0.38
190,Norman Wells,CA,2022-11-23 22:47:52,65.282,-126.8329,15.84,86,75,4.61
191,Avarua,CK,2022-11-23 22:47:53,-21.2078,-159.775,80.65,69,40,12.66
192,Pacific Grove,US,2022-11-23 22:47:53,36.6177,-121.9166,71.28,52,0,4.61
193,Tezu,IN,2022-11-23 22:47:54,27.9167,96.1667,60.46,43,1,4.16
194,Longyearbyen,SJ,2022-11-23 22:47:54,78.2186,15.6401,33.64,75,75,9.22
195,Port Townsend,US,2022-11-23 22:43:38,48.117,-122.7605,52.83,90,100,14.0
196,Puerto Narino,CO,2022-11-23 22:47:55,-3.7703,-70.3831,72.37,99,100,2.37
197,Saldanha,ZA,2022-11-23 22:47:55,-33.0117,17.9442,60.85,85,100,9.69
198,Tecpan,GT,2022-11-23 22:47:55,14.7623,-90.9947,57.2,82,95,3.53
199,Sao Felix Do Xingu,BR,2022-11-23 22:47:56,-6.6447,-51.995,75.6,83,56,2.08
