City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,12.66,few clouds
194,Beringovskiy,RU,63.05,179.3167,9.91,97,99,6.4,overcast clouds
195,Mayo,US,38.8876,-76.5119,61.21,37,0,5.75,clear sky
196,Saint-Pierre,RE,-21.3393,55.4781,73.08,60,0,3.44,clear sky
197,Kibara,TZ,-2.15,33.45,73.27,66,89,5.64,overcast clouds
198,Lorengau,PG,-2.0226,147.2712,81.16,72,28,6.04,scattered clouds
199,Pochutla,MX,15.7432,-96.4661,87.82,56,82,7.72,broken clouds
200,Alofi,NU,-19.0595,-169.9187,80.49,83,45,6.91,scattered clouds
201,Phan Thiet,VN,10.9333,108.1,76.15,88,100,4.63,overcast clouds
202,Richards Bay,ZA,-28.783,32.0377,70.45,89,100,8.23,light rain
203,Lebu,CL,-37.6167,-73.65,63.28,70,0,17.63,clear sky
204,Yerbogachen,RU,61.2767,108.0108,-14.37,97,100,5.99,overcast clouds
205,Ayan,RU,56.45,138.1667,2.91,75,91,11.1,overcast clouds
206,Orlik,RU,52.5178,99.825,-10.59,95,100,5.55,overcast clouds
207,Novoagansk,RU,61.9449,76.6625,-4.92,97,94,8.61,overcast clouds
208,Tomatlan,MX,19.9333,-105.25,86.52,47,57,7.05,broken clouds
209,Tasiilaq,GL,65.6145,-37.6368,23.68,62,100,6.11,overcast clouds
210,Quesnel,CA,52.9999,-122.5029,37.9,65,100,14.97,overcast clouds
211,Guerrero Negro,MX,27.9769,-114.0611,71.11,28,25,11.16,scattered clouds
212,Lompoc,US,34.6391,-120.4579,73.69,34,0,5.75,clear sky
213,Te Anau,NZ,-45.4167,167.7167,45.72,74,65,1.72,broken clouds
214,Machico,PT,32.7,-16.7667,67.71,80,20,5.75,few clouds
215,Yar-Sale,RU,66.8333,70.8333,5.88,90,100,7.85,overcast clouds
216,Lardos,GR,36.0942,28.0157,59.95,57,100,2.68,overcast clouds
217,Rosario Do Sul,BR,-30.2583,-54.9142,88.86,36,0,11.95,clear sky
218,Meulaboh,ID,4.1363,96.1285,75.38,88,99,3.89,overcast clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,93,100,4.61,mist
220,Anloga,GH,5.7947,0.8973,81.54,79,90,12.8,overcast clouds
221,Puerto Leguizamo,CO,-0.1934,-74.7819,80.13,79,99,3.56,overcast clouds
222,Laguna,US,38.421,-121.4238,70.18,40,0,5.75,clear sky
223,Somerset,US,40.5668,-74.5496,58.86,40,0,7.0,clear sky
224,Linkoping,SE,58.4109,15.6216,33.98,100,100,3.44,fog
225,Medford,US,42.3265,-122.8756,48.78,82,100,3.44,overcast clouds
226,Constitucion,CL,-35.3333,-72.4167,68.59,57,17,5.55,few clouds
227,Provideniya,RU,64.3833,-173.3,8.29,75,1,6.04,clear sky
228,Sawtell,AU,-30.3833,153.1,69.19,77,44,10.36,scattered clouds
229,Constantine,DZ,36.365,6.6147,51.21,76,40,10.36,scattered clouds
230,Gigmoto,PH,13.7796,124.39,77.65,79,89,8.9,overcast clouds
231,Baker,US,30.5882,-91.1682,64.81,73,100,16.89,light rain
232,Iwanai,JP,42.9744,140.5089,34.21,94,100,13.02,light snow
233,Kikwit,CD,-5.041,18.8162,68.04,98,85,1.03,overcast clouds
234,Yining,CN,29.0361,114.5636,57.34,94,18,2.53,few clouds
235,Ponta Do Sol,PT,32.6667,-17.1,67.71,74,47,1.83,scattered clouds
236,Paamiut,GL,61.994,-49.6678,19.89,86,25,6.89,scattered clouds
237,Klaksvik,FO,62.2266,-6.589,50.92,92,100,35.25,light rain
238,Palmer,US,42.1584,-72.3287,53.46,45,40,9.22,scattered clouds
239,Inta,RU,66.0317,60.1659,-6.75,95,70,9.04,broken clouds
240,Coihaique,CL,-45.5752,-72.0662,69.75,26,0,8.05,clear sky
241,Dhidhdhoo,MV,6.8833,73.1,80.28,71,100,4.52,overcast clouds
242,Mount Darwin,ZW,-16.7725,31.5838,78.26,34,78,3.91,broken clouds
243,Zheleznodorozhnyy,RU,55.7503,38.0042,23.61,95,97,6.55,overcast clouds
244,Omsukchan,RU,62.5333,155.8,-27.99,87,100,1.79,overcast clouds
245,Salalah,OM,17.0151,54.0924,75.31,66,0,2.19,clear sky
